#twotheta, yobs, ycal, bkg, diff
1.344000e+001,7.490000e+002,7.315035e+002,7.192628e+002,1.749646e+001
1.346000e+001,7.650000e+002,7.319000e+002,7.196100e+002,3.310003e+001
1.348000e+001,7.610000e+002,7.322966e+002,7.199571e+002,2.870341e+001
1.350000e+001,7.380000e+002,7.326934e+002,7.203040e+002,5.306605e+000
1.352000e+001,7.430000e+002,7.330904e+002,7.206509e+002,9.909603e+000
1.354000e+001,7.980000e+002,7.334876e+002,7.209976e+002,6.451241e+001
1.356000e+001,7.230000e+002,7.338850e+002,7.213443e+002,-1.088499e+001
1.358000e+001,7.290000e+002,7.342826e+002,7.216908e+002,-5.282579e+000
1.360000e+001,7.770000e+002,7.346804e+002,7.220372e+002,4.231963e+001
1.362000e+001,7.270000e+002,7.350784e+002,7.223836e+002,-8.078375e+000
1.364000e+001,7.430000e+002,7.354766e+002,7.227298e+002,7.523418e+000
1.366000e+001,6.980000e+002,7.358750e+002,7.230759e+002,-3.787500e+001
1.368000e+001,7.890000e+002,7.362736e+002,7.234219e+002,5.272637e+001
1.370000e+001,7.550000e+002,7.366725e+002,7.237678e+002,1.832753e+001
1.372000e+001,7.240000e+002,7.370715e+002,7.241135e+002,-1.307153e+001
1.374000e+001,6.990000e+002,7.374708e+002,7.244592e+002,-3.847082e+001
1.376000e+001,7.220000e+002,7.378703e+002,7.248048e+002,-1.587032e+001
1.378000e+001,7.370000e+002,7.382700e+002,7.251502e+002,-1.270049e+000
1.380000e+001,7.690000e+002,7.386700e+002,7.254956e+002,3.032999e+001
1.382000e+001,7.740000e+002,7.390702e+002,7.258408e+002,3.492980e+001
1.384000e+001,7.630000e+002,7.394706e+002,7.261860e+002,2.352938e+001
1.386000e+001,7.340000e+002,7.398713e+002,7.265310e+002,-5.871278e+000
1.388000e+001,7.590000e+002,7.402722e+002,7.268759e+002,1.872782e+001
1.390000e+001,7.550000e+002,7.406733e+002,7.272207e+002,1.432668e+001
1.392000e+001,7.690000e+002,7.410747e+002,7.275654e+002,2.792530e+001
1.394000e+001,7.740000e+002,7.414763e+002,7.279100e+002,3.252367e+001
1.396000e+001,7.540000e+002,7.418782e+002,7.282545e+002,1.212178e+001
1.398000e+001,7.580000e+002,7.422804e+002,7.285989e+002,1.571964e+001
1.400000e+001,7.410000e+002,7.426828e+002,7.289432e+002,-1.682752e+000
1.402000e+001,7.470000e+002,7.430854e+002,7.292874e+002,3.914593e+000
1.404000e+001,7.380000e+002,7.434883e+002,7.296314e+002,-5.488324e+000
1.406000e+001,7.710000e+002,7.438915e+002,7.299754e+002,2.710849e+001
1.408000e+001,7.920000e+002,7.442950e+002,7.303192e+002,4.770504e+001
1.410000e+001,7.670000e+002,7.446987e+002,7.306630e+002,2.230131e+001
1.412000e+001,7.500000e+002,7.451027e+002,7.310066e+002,4.897313e+000
1.414000e+001,7.510000e+002,7.455070e+002,7.313501e+002,5.493033e+000
1.416000e+001,7.970000e+002,7.459115e+002,7.316936e+002,5.108847e+001
1.418000e+001,6.970000e+002,7.463164e+002,7.320369e+002,-4.931638e+001
1.420000e+001,7.670000e+002,7.467215e+002,7.323801e+002,2.027849e+001
1.422000e+001,7.520000e+002,7.471269e+002,7.327232e+002,4.873062e+000
1.424000e+001,7.480000e+002,7.475327e+002,7.330662e+002,4.673387e-001
1.426000e+001,7.460000e+002,7.479387e+002,7.334090e+002,-1.938683e+000
1.428000e+001,7.090000e+002,7.483450e+002,7.337518e+002,-3.934501e+001
1.430000e+001,7.480000e+002,7.487516e+002,7.340945e+002,-7.516372e-001
1.432000e+001,7.660000e+002,7.491586e+002,7.344371e+002,1.684142e+001
1.434000e+001,7.700000e+002,7.495658e+002,7.347795e+002,2.043417e+001
1.436000e+001,7.330000e+002,7.499734e+002,7.351219e+002,-1.697340e+001
1.438000e+001,7.910000e+002,7.503813e+002,7.354641e+002,4.061871e+001
1.440000e+001,7.850000e+002,7.507895e+002,7.358062e+002,3.421050e+001
1.442000e+001,7.370000e+002,7.511980e+002,7.361483e+002,-1.419804e+001
1.444000e+001,7.610000e+002,7.516069e+002,7.364902e+002,9.393087e+000
1.446000e+001,7.650000e+002,7.520161e+002,7.368320e+002,1.298388e+001
1.448000e+001,7.670000e+002,7.524257e+002,7.371737e+002,1.457433e+001
1.450000e+001,8.050000e+002,7.528356e+002,7.375153e+002,5.216444e+001
1.452000e+001,7.630000e+002,7.532458e+002,7.378568e+002,9.754207e+000
1.454000e+001,7.930000e+002,7.536564e+002,7.381982e+002,3.934362e+001
1.456000e+001,7.310000e+002,7.540673e+002,7.385394e+002,-2.306732e+001
1.458000e+001,8.080000e+002,7.544786e+002,7.388806e+002,5.352138e+001
1.460000e+001,7.910000e+002,7.548903e+002,7.392217e+002,3.610971e+001
1.462000e+001,7.590000e+002,7.553023e+002,7.395626e+002,3.697678e+000
1.464000e+001,8.360000e+002,7.557147e+002,7.399035e+002,8.028527e+001
1.466000e+001,8.080000e+002,7.561275e+002,7.402442e+002,5.187249e+001
1.468000e+001,7.730000e+002,7.565407e+002,7.405848e+002,1.645933e+001
1.470000e+001,7.450000e+002,7.569542e+002,7.409253e+002,-1.195421e+001
1.472000e+001,7.910000e+002,7.573681e+002,7.412658e+002,3.363186e+001
1.474000e+001,7.420000e+002,7.577825e+002,7.416061e+002,-1.578247e+001
1.476000e+001,8.120000e+002,7.581972e+002,7.419463e+002,5.380281e+001
1.478000e+001,7.660000e+002,7.586123e+002,7.422864e+002,7.387680e+000
1.480000e+001,7.480000e+002,7.590279e+002,7.426264e+002,-1.102785e+001
1.482000e+001,8.310000e+002,7.594438e+002,7.429662e+002,7.155620e+001
1.484000e+001,7.690000e+002,7.598602e+002,7.433060e+002,9.139839e+000
1.486000e+001,8.120000e+002,7.602769e+002,7.436457e+002,5.172306e+001
1.488000e+001,8.020000e+002,7.606942e+002,7.439852e+002,4.130585e+001
1.490000e+001,8.020000e+002,7.611118e+002,7.443247e+002,4.088821e+001
1.492000e+001,7.950000e+002,7.615299e+002,7.446640e+002,3.347013e+001
1.494000e+001,7.440000e+002,7.619484e+002,7.450033e+002,-1.794838e+001
1.496000e+001,7.840000e+002,7.623673e+002,7.453424e+002,2.163266e+001
1.498000e+001,7.860000e+002,7.627868e+002,7.456814e+002,2.321325e+001
1.500000e+001,8.010000e+002,7.632066e+002,7.460203e+002,3.779338e+001
1.502000e+001,7.790000e+002,7.636270e+002,7.463591e+002,1.537305e+001
1.504000e+001,7.560000e+002,7.640477e+002,7.466978e+002,-8.047746e+000
1.506000e+001,8.090000e+002,7.644690e+002,7.470364e+002,4.453099e+001
1.508000e+001,7.990000e+002,7.648908e+002,7.473749e+002,3.410924e+001
1.510000e+001,7.630000e+002,7.653130e+002,7.477133e+002,-2.312982e+000
1.512000e+001,8.100000e+002,7.657357e+002,7.480516e+002,4.426430e+001
1.514000e+001,8.040000e+002,7.661589e+002,7.483897e+002,3.784110e+001
1.516000e+001,7.690000e+002,7.665826e+002,7.487278e+002,2.417390e+000
1.518000e+001,8.200000e+002,7.670068e+002,7.490657e+002,5.299318e+001
1.520000e+001,8.020000e+002,7.674315e+002,7.494036e+002,3.456846e+001
1.522000e+001,8.320000e+002,7.678568e+002,7.497413e+002,6.414322e+001
1.524000e+001,7.370000e+002,7.682825e+002,7.500789e+002,-3.128254e+001
1.526000e+001,7.730000e+002,7.687088e+002,7.504164e+002,4.291170e+000
1.528000e+001,7.740000e+002,7.691357e+002,7.507539e+002,4.864347e+000
1.530000e+001,8.110000e+002,7.695630e+002,7.510912e+002,4.143698e+001
1.532000e+001,7.840000e+002,7.699909e+002,7.514284e+002,1.400907e+001
1.534000e+001,7.900000e+002,7.704194e+002,7.517654e+002,1.958061e+001
1.536000e+001,7.870000e+002,7.708484e+002,7.521024e+002,1.615159e+001
1.538000e+001,7.790000e+002,7.712780e+002,7.524393e+002,7.722003e+000
1.540000e+001,8.550000e+002,7.717082e+002,7.527761e+002,8.329184e+001
1.542000e+001,8.160000e+002,7.721389e+002,7.531127e+002,4.386111e+001
1.544000e+001,7.530000e+002,7.725702e+002,7.534493e+002,-1.957022e+001
1.546000e+001,7.930000e+002,7.730021e+002,7.537857e+002,1.999787e+001
1.548000e+001,8.140000e+002,7.734346e+002,7.541221e+002,4.056536e+001
1.550000e+001,7.720000e+002,7.738678e+002,7.544583e+002,-1.867761e+000
1.552000e+001,7.780000e+002,7.743015e+002,7.547944e+002,3.698509e+000
1.554000e+001,8.030000e+002,7.747358e+002,7.551304e+002,2.826416e+001
1.556000e+001,8.250000e+002,7.751708e+002,7.554664e+002,4.982918e+001
1.558000e+001,8.310000e+002,7.756064e+002,7.558022e+002,5.539357e+001
1.560000e+001,8.290000e+002,7.760427e+002,7.561379e+002,5.295732e+001
1.562000e+001,7.630000e+002,7.764796e+002,7.564734e+002,-1.347957e+001
1.564000e+001,7.880000e+002,7.769171e+002,7.568089e+002,1.108287e+001
1.566000e+001,7.980000e+002,7.773553e+002,7.571443e+002,2.064465e+001
1.568000e+001,8.120000e+002,7.777942e+002,7.574796e+002,3.420577e+001
1.570000e+001,7.780000e+002,7.782338e+002,7.578147e+002,-2.338005e-001
1.572000e+001,7.870000e+002,7.786741e+002,7.581498e+002,8.325947e+000
1.574000e+001,8.360000e+002,7.791150e+002,7.584847e+002,5.688500e+001
1.576000e+001,8.390000e+002,7.795566e+002,7.588196e+002,5.944335e+001
1.578000e+001,8.510000e+002,7.799990e+002,7.591543e+002,7.100099e+001
1.580000e+001,8.610000e+002,7.804421e+002,7.594889e+002,8.055791e+001
1.582000e+001,8.000000e+002,7.808859e+002,7.598234e+002,1.911411e+001
1.584000e+001,8.260000e+002,7.813304e+002,7.601578e+002,4.466957e+001
1.586000e+001,8.070000e+002,7.817757e+002,7.604921e+002,2.522429e+001
1.588000e+001,8.010000e+002,7.822217e+002,7.608263e+002,1.877825e+001
1.590000e+001,8.280000e+002,7.826685e+002,7.611604e+002,4.533146e+001
1.592000e+001,8.030000e+002,7.831161e+002,7.614944e+002,1.988389e+001
1.594000e+001,8.210000e+002,7.835644e+002,7.618283e+002,3.743555e+001
1.596000e+001,8.020000e+002,7.840136e+002,7.621620e+002,1.798642e+001
1.598000e+001,8.280000e+002,7.844635e+002,7.624957e+002,4.353649e+001
1.600000e+001,8.260000e+002,7.849142e+002,7.628292e+002,4.108576e+001
1.602000e+001,8.090000e+002,7.853658e+002,7.631627e+002,2.363421e+001
1.604000e+001,7.940000e+002,7.858182e+002,7.634960e+002,8.181839e+000
1.606000e+001,8.460000e+002,7.862714e+002,7.638292e+002,5.972863e+001
1.608000e+001,8.440000e+002,7.867254e+002,7.641624e+002,5.727458e+001
1.610000e+001,8.270000e+002,7.871803e+002,7.644954e+002,3.981968e+001
1.612000e+001,8.340000e+002,7.876361e+002,7.648283e+002,4.636391e+001
1.614000e+001,8.240000e+002,7.880927e+002,7.651611e+002,3.590727e+001
1.616000e+001,8.070000e+002,7.885502e+002,7.654938e+002,1.844975e+001
1.618000e+001,7.890000e+002,7.890087e+002,7.658264e+002,-8.665147e-003
1.620000e+001,7.510000e+002,7.894680e+002,7.661588e+002,-3.846799e+001
1.622000e+001,8.470000e+002,7.899282e+002,7.664912e+002,5.707178e+001
1.624000e+001,7.530000e+002,7.903894e+002,7.668235e+002,-3.738938e+001
